subject,Eprime.LevelName,Sample,Cycle,Running,Procedure,ITI,CSplus,CSmin1,CSmin2,VasScore_verwachting,VasScore_Angst,VasScore_PreCS1,VasScore_PreCS2,VasScore_PreCS3,VasScore_PostCS1,VasScore_PostCS2,VasScore_PostCS3,VasScore_FilmOnaangenaam,VasScore_CueOnaangenaam,OefenVASverwachting.RT,OefenVASverwachting.RESP,OefenVASAngst.RT,OefenVASAngst.RESP,CS1VAS.RT,CS1VAS.RESP,CS2VAS.RT,CS2VAS.RESP,CS3VAS.RT,CS3VAS.RESP,CSmin1Verwachting.RT,CSmin1Verwachting.RESP,CSmin1Angst.RT,CSmin1Angst.RESP,CSmin2Verwachting.RT,CSmin2Verwachting.RESP,CSmin2Angst.RT,CSmin2Angst.RESP,CSplusVerwachting.RT,CSplusVerwachting.RESP,CSplusAngst.RT,CSplusAngst.RESP,Geslacht.RESP,Leeftijd.RESP
1,AcqTrial3A_2,3,1,AcqTrial3A,CSmin1,4000,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1703,1,2327,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,AcqTrial4A_3,1,1,AcqTrial4A,CSminus2,4000,NA,NA,NA,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150,1,1647,1,NA,NA,NA,NA,NA,NA
1,AcqTrial4A_1,2,1,AcqTrial4A,CSplus,6000,NA,NA,NA,100,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038,1,3154,1,NA,NA
1,AcqTrial4A_2,3,1,AcqTrial4A,CSmin1,2000,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297,1,1099,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,AcqTrial5A_2,1,1,AcqTrial5A,CSmin1,2000,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440,1,1849,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,AcqTrial5A_3,2,1,AcqTrial5A,CSminus2,4000,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263,1,1156,1,NA,NA,NA,NA,NA,NA
1,AcqTrial5A_1,3,1,AcqTrial5A,CSplus,6000,NA,NA,NA,100,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3155,1,1488,1,NA,NA
1,AcqTrial6A_1,1,1,AcqTrial6A,CSplus,6000,NA,NA,NA,100,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,1,1316,1,NA,NA
1,AcqTrial6A_2,2,1,AcqTrial6A,CSmin1,2000,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,1,3576,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,AcqTrial6A_3,3,1,AcqTrial6A,CSminus2,6000,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415,1,1228,1,NA,NA,NA,NA,NA,NA
